 aqi, level, so2, no2, co, o3, pm10, pm2_5
103,3,31,53,1.7,47,156,77
26,1,10,12,0.6,51,19,12
55,2,10,29,0.6,105,47,20
112,3,24,40,1.4,146,105,84
97,2,3,34,0.8,54,88,72
36,1,5,11,0.4,72,31,13
63,2,26,32,0.7,56,75,41
44,1,5,22,1,87,25,29
95,2,3,10,0.5,154,21,14
89,2,3,14,0.9,146,48,26
49,1,20,17,0.6,60,49,30
31,1,3,19,0.6,62,28,20
149,3,3,21,1,213,91,43
50,1,9,19,0.8,79,50,29
41,1,8,25,0.6,53,41,22
97,2,20,49,1.4,119,124,72
39,1,8,21,0.7,58,39,19
100,2,6,38,1,92,83,75
31,1,6,11,0.4,62,22,8
63,2,8,15,0.7,115,66,40
44,1,14,19,0.8,87,44,28
147,3,38,41,1.5,113,127,112
33,1,6,11,0.4,66,32,16
38,1,6,19,0.6,73,38,21
81,2,5,22,0.5,137,50,21
73,2,9,35,0.8,127,63,41
21,1,6,13,0.7,33,21,10
65,2,2,20,0.4,117,33,18
39,1,6,24,0.6,50,39,24
28,1,7,17,0.7,46,28,15
120,3,39,54,2.2,38,115,91
35,1,5,11,0.4,70,31,13
118,3,4,32,0.6,75,186,54
77,2,17,29,0.9,58,79,56
147,3,13,40,1.8,110,151,112
54,2,3,21,0.4,104,27,9
38,1,7,18,0.4,76,31,13
121,3,4,21,1.1,183,52,44
87,2,27,40,1,72,92,64
100,2,8,42,0.6,159,54,22
29,1,8,16,0.7,57,24,13
85,2,2,11,0.7,141,47,25
25,1,5,14,0.5,30,25,13
42,1,12,23,0.8,27,42,24
30,1,11,21,1,28,30,17
129,3,38,63,2.1,52,148,98
106,3,2,20,0.8,166,55,32
80,2,2,17,0.6,136,59,30
35,1,10,22,0.7,40,33,24
80,2,15,33,1,30,74,59
64,2,2,16,0.5,116,26,11
105,3,7,30,1.1,102,74,79
40,1,6,20,0.5,80,37,15
121,3,5,27,0.7,183,44,29
52,2,2,18,0.6,102,24,21
68,2,6,15,0.6,121,38,22
73,2,34,42,0.8,67,85,53
45,1,14,22,0.9,37,43,31
95,2,32,49,1,73,114,71
30,1,11,24,1,48,30,21
73,2,3,30,0.4,127,55,20
84,2,2,18,1.5,140,68,34
41,1,5,15,0.5,81,24,11
67,2,6,31,0.6,120,73,39
52,2,30,35,1.4,52,54,34
31,1,12,20,0.9,26,31,19
83,2,16,31,0.9,30,83,61
69,2,8,20,0.6,122,32,15
23,1,5,15,0.5,45,22,7
149,3,18,43,1.3,213,141,57
86,2,4,24,0.5,143,79,35
31,1,13,19,0.8,40,31,19
35,1,16,17,0.7,54,35,24
28,1,5,12,0.4,56,18,7
87,2,26,37,1,38,86,64
35,1,12,27,0.8,32,32,24
42,1,6,19,0.6,58,42,27
51,2,2,21,0.9,68,52,28
99,2,11,21,0.8,69,148,34
39,1,6,13,0.6,77,20,8
40,1,6,14,0.6,80,33,20
115,3,12,32,0.8,176,61,35
98,2,9,29,0.7,114,145,43
75,2,16,40,0.6,130,60,26
120,3,27,54,2.1,61,144,91
32,1,6,16,0.7,63,23,12
66,2,2,31,0.3,119,44,12
25,1,5,12,0.4,49,24,7
24,1,11,19,0.7,37,23,12
33,1,6,22,0.7,62,33,18
79,2,21,47,1.6,94,95,58
80,2,3,17,0.8,135,49,30
79,2,17,38,1.4,134,78,53
55,2,3,14,0.7,105,17,16
30,1,10,21,0.8,59,23,12
53,2,8,16,0.7,49,56,32
95,2,32,49,1,73,114,71
31,1,13,19,0.8,40,31,19
64,2,6,21,0.5,116,46,25
63,2,3,13,0.6,115,28,17
33,1,7,15,0.5,65,25,12
39,1,6,13,0.5,77,30,14
48,1,6,28,0.6,85,48,23
96,2,3,16,0.5,70,142,40
19,1,5,14,0.5,38,17,6
72,2,20,28,0.9,81,77,52
70,2,8,18,0.6,124,40,23
78,2,23,31,0.9,72,81,57
44,1,6,11,0.5,88,31,14
45,1,6,22,0.6,89,40,18
83,2,12,38,1,139,48,20
34,1,6,10,0.4,67,23,8
83,2,2,18,0.8,139,54,30
131,3,3,27,0.3,76,212,28
48,1,7,13,0.5,96,31,13
24,1,11,19,0.7,37,23,12
38,1,6,18,0.6,76,23,12
46,1,3,20,0.4,91,23,9
46,1,16,23,0.9,29,46,29
144,3,2,35,1.1,48,101,110
51,2,21,18,0.6,64,51,29
65,2,35,37,0.8,71,80,42
27,1,7,21,0.6,37,21,11
45,1,10,19,0.8,44,43,31
43,1,5,18,0.6,86,38,18
50,1,6,17,0.6,100,38,23
63,2,26,32,0.7,56,75,41
25,1,11,14,0.6,49,14,10
33,1,6,18,0.6,65,32,19
86,2,8,21,0.6,143,48,26
77,2,58,50,1.1,72,104,49
82,2,20,38,1,129,75,60
63,2,6,21,0.9,115,47,45
44,1,6,11,0.5,88,31,14
88,2,2,16,0.4,145,24,9
137,3,2,37,0.9,49,69,104
48,1,5,21,0.5,96,37,17
67,2,4,18,0.6,120,50,26
117,3,2,20,0.9,178,67,31
118,3,6,25,1,179,69,39
82,2,6,23,1.1,69,93,60
31,1,11,23,0.9,19,31,20
65,2,3,35,0.5,117,76,39
58,2,3,10,0.2,97,65,13
31,1,6,16,0.5,61,23,12
35,1,8,18,0.5,65,35,19
65,2,9,29,0.7,118,52,27
30,1,5,20,0.6,60,16,8
27,1,6,16,0.6,53,17,8
76,2,14,32,1,116,101,46
39,1,5,13,0.4,77,26,9
43,1,15,23,0.9,52,43,29
59,2,7,14,0.6,110,37,21
22,1,10,17,0.6,25,21,12
134,3,8,29,0.8,197,75,35
53,2,11,39,1,98,56,32
36,1,6,12,0.4,71,24,9
53,2,4,35,0.6,42,55,21
70,2,37,41,0.9,89,89,44
40,1,13,11,0.5,79,31,20
85,2,3,22,0.6,142,51,26
63,2,4,31,0.9,115,70,42
122,3,4,24,0.5,184,65,18
53,2,3,23,0.4,52,56,17
59,2,14,23,0.9,47,55,42
34,1,10,18,1,11,34,19
90,2,7,40,0.9,121,102,67
70,2,18,44,1,104,90,38
112,3,56,61,1.4,96,141,84
99,2,14,32,1.6,91,76,74
54,2,3,22,0.4,103,57,15
140,3,9,26,1.4,203,67,48
25,1,5,14,0.5,30,25,13
74,2,5,14,0.5,128,44,22
125,3,2,16,0.6,187,39,17
53,2,18,22,0.7,61,51,37
38,1,13,24,1,15,38,26
36,1,10,15,0.7,72,27,20
135,3,2,30,1,89,61,103
65,2,10,29,0.8,98,79,44
123,3,13,41,0.8,185,48,23
29,1,9,23,0.7,38,27,12
111,3,8,43,0.9,115,172,72
37,1,5,24,0.7,74,25,24
85,2,7,30,0.6,142,52,21
56,2,15,22,0.7,80,61,36
54,2,7,18,0.7,72,57,32
62,2,16,22,1,58,62,44
29,1,6,11,0.4,57,18,5
58,2,3,18,0.2,98,66,14
30,1,11,24,1,48,30,21
35,1,14,21,0.8,28,35,20
149,3,2,39,1.1,34,101,114
132,3,2,20,1.4,52,86,100
78,2,14,23,0.9,50,68,57
58,2,3,21,0.3,98,66,16
49,1,3,15,0.6,97,24,24
62,2,8,17,0.7,105,67,44
80,2,6,31,1.1,135,48,33
81,2,3,10,0.4,137,16,7
26,1,13,15,0.7,52,22,15
58,2,6,23,0.6,109,37,18
56,2,10,29,0.6,107,54,19
29,1,9,23,0.7,38,27,12
150,3,19,43,1.5,214,89,42
44,1,14,19,0.8,87,44,28
72,2,8,14,0.7,126,80,47
30,1,6,11,0.4,60,24,10
47,1,6,19,0.6,94,40,22
129,3,5,26,0.6,191,46,27
150,3,6,21,0.8,215,68,45
114,3,8,26,1.1,67,100,86
88,2,8,18,0.8,117,110,65
124,3,18,52,1.4,177,198,78
56,2,15,22,0.7,80,61,36
149,3,12,39,1,213,65,43
45,1,22,30,0.8,59,45,24
53,2,2,20,0.7,103,52,27
118,3,4,49,0.8,60,84,89
121,3,3,31,0.7,183,44,21
125,3,3,37,0.9,59,70,95
100,2,3,37,0.6,160,122,51
37,1,14,24,0.8,33,37,24
27,1,5,16,0.4,53,19,6
26,1,6,15,0.5,51,25,14
62,2,8,17,0.7,105,67,44
68,2,5,47,0.9,32,86,41
47,1,8,14,0.6,86,47,31
59,2,3,14,0.4,82,67,28
98,2,26,36,0.9,61,100,73
55,2,3,13,0.6,105,17,9
79,2,4,34,0.5,117,94,58
24,1,10,14,0.6,48,20,9
90,2,6,20,0.6,147,43,22
101,3,2,31,0.4,161,46,15
59,2,7,15,0.7,110,58,32
25,1,5,17,0.6,50,21,11
27,1,6,16,0.6,53,17,8
58,2,13,29,0.7,101,66,39
94,2,10,30,1,149,122,70
45,1,14,22,0.9,37,43,31
64,2,2,26,0.6,116,59,39
25,1,11,14,0.6,49,14,10
144,3,3,30,0.5,70,237,58
98,2,11,26,0.8,157,128,71
32,1,8,15,0.9,18,32,18
31,1,2,24,0.7,45,31,15
53,2,5,13,0.6,103,30,16
36,1,8,19,0.7,30,36,20
115,3,4,51,1.3,41,93,87
51,2,8,11,0.6,58,51,16
54,2,8,19,0.6,74,58,30
55,2,9,32,0.7,95,59,24
44,1,6,12,0.5,88,29,11
33,1,6,22,0.6,66,33,19
85,2,13,40,1,142,116,43
75,2,13,24,1.2,130,95,34
89,2,33,38,1,62,98,66
127,3,10,39,1.7,59,103,96
58,2,13,29,0.7,101,66,39
96,2,3,18,0.6,155,46,21
87,2,6,40,0.9,73,73,64
63,2,10,20,0.7,109,70,45
32,1,5,13,0.4,63,25,10
71,2,11,27,0.6,125,45,18
38,1,13,27,0.5,66,38,22
50,1,9,19,0.8,79,50,29
42,1,6,19,0.6,58,42,27
38,1,15,21,0.8,48,38,25
55,2,5,14,0.4,105,32,16
62,2,4,45,0.8,64,74,41
140,3,4,35,0.5,106,230,55
53,2,17,28,1,38,56,33
49,1,18,24,0.9,42,49,31
43,1,2,15,0.4,85,14,4
90,2,14,28,0.8,99,129,52
100,2,5,48,0.8,30,149,45
104,3,24,42,1.2,45,93,78
65,2,10,19,0.7,117,60,32
80,2,5,35,1,37,110,53
63,2,6,50,0.7,23,64,29
39,1,5,12,0.5,77,28,13
67,2,13,25,0.9,41,62,48
148,3,14,40,1.5,212,82,40
83,2,9,28,0.8,139,92,50
47,1,8,14,0.6,86,47,31
27,1,5,14,0.5,54,18,6
143,3,51,63,2.6,34,147,109
93,2,20,45,1.7,101,87,69
49,1,13,17,0.9,60,46,34
48,1,13,15,0.5,74,48,30
83,2,3,17,0.2,93,115,39
55,2,5,27,0.8,103,40,39
89,2,16,36,1,107,127,47
63,2,10,20,0.7,109,70,45
89,2,4,34,1.1,40,83,66
28,1,9,21,0.7,44,28,15
68,2,3,28,0.3,96,85,24
72,2,20,28,0.9,81,77,52
80,2,3,19,0.3,92,109,27
28,1,5,22,0.6,51,24,11
64,2,2,12,0.7,116,35,22
138,3,4,26,0.5,201,77,31
119,3,6,21,0.9,180,31,24
59,2,10,20,0.6,99,67,42
66,2,3,32,0.4,109,81,27
30,1,6,12,0.4,60,25,10
64,2,4,36,0.4,116,74,35
86,2,2,17,0.5,143,32,12
98,2,29,41,1,33,108,73
121,3,2,10,0.2,80,192,52
114,3,24,38,0.8,111,177,53
27,1,5,14,0.4,54,26,10
35,1,15,24,0.6,68,35,16
72,2,18,33,1,33,73,52
63,2,5,22,0.6,115,56,27
60,2,3,14,0.8,112,33,22
130,3,2,21,0.6,192,69,36
37,1,16,13,0.6,73,33,24
80,2,6,19,0.5,136,46,22
58,2,7,18,0.5,109,29,13
41,1,5,13,0.4,81,27,13
40,1,6,14,0.6,80,33,20
127,3,13,22,0.5,71,203,46
