 aqi, level, so2, no2, co, o3, pm10, pm2_5
36,1,10,15,0.7,72,27,20
103,3,14,67,1,68,125,77
77,2,9,39,0.7,52,79,56
58,2,8,23,0.6,109,31,17
57,2,16,15,0.7,44,52,40
28,1,5,12,0.5,55,23,7
65,2,35,37,0.8,71,80,42
25,1,9,19,0.6,24,25,15
65,2,8,23,0.5,118,29,14
78,2,23,31,0.9,72,81,57
23,1,11,17,0.9,29,17,9
33,1,6,11,0.4,66,32,16
53,2,9,42,0.8,61,49,29
87,2,11,37,0.8,144,46,25
49,1,6,20,0.6,97,36,17
53,2,10,39,0.8,64,56,35
67,2,6,31,0.6,120,73,39
55,2,8,23,0.6,105,35,19
30,1,6,15,0.4,60,25,9
32,1,5,17,0.5,63,29,13
37,1,5,15,0.5,73,25,12
40,1,6,20,0.5,80,37,15
67,2,9,49,0.9,28,76,48
90,2,14,28,0.8,99,129,52
66,2,8,21,0.6,119,22,13
70,2,9,25,0.6,123,33,17
132,3,16,73,1,62,152,100
33,1,6,22,0.6,66,33,19
85,2,9,52,0.9,33,95,63
89,2,10,33,0.7,146,49,29
43,1,5,15,0.5,86,22,9
49,1,20,17,0.6,60,49,30
86,2,8,21,0.6,143,48,26
90,2,10,31,0.7,45,84,67
29,1,8,16,0.7,57,24,13
82,2,6,27,0.7,138,61,30
94,2,7,23,0.6,152,53,26
53,2,7,26,0.7,58,51,37
108,3,13,47,1,15,112,81
70,2,8,18,0.6,124,40,23
32,1,8,25,0.6,38,23,13
38,1,13,24,1,15,38,26
27,1,5,13,0.6,53,14,5
96,2,10,29,0.9,155,114,68
49,1,6,19,0.5,98,39,18
37,1,5,13,0.4,74,24,10
55,2,7,19,0.6,106,20,12
38,1,6,18,0.6,76,23,12
28,1,12,17,0.8,37,28,16
71,2,11,27,0.6,125,45,18
40,1,6,14,0.6,80,33,20
61,2,10,39,0.7,74,72,34
103,3,12,44,0.8,163,61,32
33,1,6,18,0.6,66,24,14
34,1,6,10,0.4,67,23,8
41,1,5,13,0.4,81,27,13
61,2,9,20,0.5,113,29,15
49,1,13,17,0.9,60,46,34
30,1,11,21,1,28,30,17
87,2,26,37,1,38,86,64
72,2,11,33,0.5,126,43,21
44,1,12,20,0.6,61,44,27
31,1,6,16,0.5,61,23,12
58,2,13,29,0.7,101,66,39
70,2,37,41,0.9,89,89,44
29,1,8,17,0.8,34,29,18
82,2,11,39,0.9,16,81,60
33,1,5,22,0.5,66,26,13
57,2,10,45,0.9,106,60,35
94,2,12,49,0.7,152,58,27
133,3,13,45,0.8,196,71,41
90,2,8,24,0.6,147,34,16
55,2,10,29,0.6,105,47,20
51,2,9,35,0.7,70,51,34
23,1,5,15,0.5,45,22,7
34,1,10,18,1,11,34,19
38,1,5,18,0.5,76,37,19
98,2,9,43,0.9,23,96,73
68,2,6,15,0.6,121,38,22
30,1,5,20,0.6,60,16,8
80,2,8,25,0.7,135,43,28
72,2,8,14,0.7,126,80,47
28,1,9,21,0.7,44,28,15
76,2,9,26,0.6,131,36,19
44,1,6,14,0.4,87,30,14
26,1,6,14,0.5,47,26,11
48,1,10,20,0.7,66,42,33
56,2,10,29,0.6,107,54,19
64,2,15,25,1,39,65,46
44,1,6,22,0.6,39,44,22
69,2,9,31,0.7,80,65,50
78,2,14,23,0.9,50,68,57
51,2,21,18,0.6,64,51,29
75,2,8,21,0.5,130,26,14
108,3,8,38,0.9,42,107,81
58,2,7,18,0.5,109,29,13
62,2,9,39,0.7,98,74,33
53,2,13,26,0.8,32,55,36
35,1,12,27,0.8,32,32,24
116,3,10,29,0.7,177,47,26
27,1,6,19,0.5,53,26,12
30,1,5,24,0.6,39,16,8
34,1,6,12,0.7,67,16,6
51,2,5,13,0.6,101,42,23
63,2,15,22,0.8,66,64,45
80,2,9,31,0.7,135,42,22
25,1,7,20,0.7,26,16,9
54,2,6,20,0.5,104,30,11
86,2,10,28,0.7,143,54,32
63,2,8,29,0.6,115,32,17
55,2,9,25,0.6,106,35,20
48,1,13,15,0.5,74,48,30
31,1,13,19,0.8,40,31,19
32,1,5,13,0.4,63,25,10
69,2,14,52,1,114,88,41
26,1,6,13,0.6,37,26,14
45,1,5,22,0.5,90,34,16
52,2,9,22,0.6,102,30,17
51,2,8,11,0.6,58,51,16
44,1,13,17,0.7,65,44,26
65,2,10,19,0.7,117,60,32
37,1,12,19,0.8,63,37,24
113,3,10,48,1.1,20,117,85
77,2,5,20,0.6,132,48,24
28,1,4,13,0.6,55,16,7
49,1,12,13,0.6,62,45,34
62,2,7,15,0.6,114,64,33
