 aqi, level, so2, no2, co, o3, pm10, pm2_5
122,3,12,60,1.1,64,137,92
73,2,10,26,0.8,127,39,19
54,2,7,33,0.6,66,58,22
66,2,6,26,1,119,55,34
98,2,8,26,1.3,157,68,45
65,2,6,18,0.8,117,46,27
38,1,6,20,0.6,76,31,15
103,3,5,12,0.7,163,31,17
74,2,5,18,1,128,34,23
41,1,10,29,0.7,62,41,14
40,1,5,10,0.5,80,32,13
44,1,6,24,0.8,88,31,18
61,2,8,26,0.6,113,45,17
60,2,5,15,0.8,112,31,21
130,3,8,24,0.9,192,81,52
115,3,13,65,1,141,163,87
100,2,13,47,0.9,160,137,69
70,2,6,16,0.7,123,27,13
40,1,6,32,0.5,58,34,14
123,3,12,28,0.7,185,65,23
50,1,5,30,0.5,99,37,18
109,3,7,28,0.8,169,42,22
113,3,6,28,0.8,174,50,25
65,2,8,26,0.6,118,42,13
58,2,8,34,1,106,64,41
139,3,14,74,1.5,39,138,106
72,2,6,18,0.6,126,30,15
56,2,6,21,0.5,107,56,24
61,2,10,24,0.7,71,71,32
37,1,5,13,0.4,74,22,11
74,2,15,56,1.6,21,79,54
85,2,4,17,0.8,141,31,18
65,2,4,21,0.6,78,79,41
45,1,7,30,0.6,87,45,23
61,2,5,14,0.7,113,23,14
98,2,6,15,0.9,157,50,30
58,2,7,26,0.4,109,43,11
125,3,6,20,0.9,187,43,24
43,1,8,34,0.8,63,31,15
125,3,5,23,0.8,187,42,26
134,3,5,16,0.7,197,39,23
119,3,17,60,1.4,89,110,90
58,2,9,44,0.8,74,65,38
67,2,7,39,0.7,120,32,13
43,1,6,34,0.5,72,42,19
72,2,9,35,0.8,126,43,14
90,2,5,18,0.8,147,40,23
144,3,5,27,1.1,208,78,38
51,2,6,28,0.6,101,17,8
126,3,6,21,0.8,188,51,29
37,1,5,18,0.7,73,14,8
80,2,6,28,0.5,99,109,37
61,2,7,16,1,111,72,39
50,1,5,26,0.4,91,50,13
51,2,5,24,0.4,101,18,6
60,2,9,32,0.6,112,49,22
133,3,6,17,0.7,196,46,27
76,2,8,21,0.8,131,39,21
69,2,7,29,0.4,122,81,22
80,2,8,43,0.6,136,73,46
81,2,6,19,0.9,137,27,14
89,2,7,20,0.8,146,83,52
60,2,5,19,0.3,112,24,6
117,3,10,49,1.1,56,100,88
137,3,16,89,1.6,26,112,104
67,2,5,19,0.7,120,37,22
66,2,10,26,0.6,119,56,30
49,1,5,16,0.6,97,35,20
70,2,6,20,0.6,123,39,19
103,3,10,53,1.7,25,103,77
113,3,9,28,0.8,174,50,26
37,1,4,12,0.7,74,7,6
94,2,6,20,1,152,61,34
