 aqi	 level	 so2_24h	 no2_24h	 co_24h	 o3_8h_24h	 pm10_24h	 pm2_5_24h
73	2	9	37	0.9	87	69	53
69	2	9	31	0.7	80	65	50
90	2	10	31	0.7	45	84	67
88	2	9	22	0.7	87	85	65
55	2	8	21	0.6	49	49	39
54	2	9	43	0.8	83	55	37
67	2	10	48	0.9	104	70	48
84	2	11	52	1	116	88	62
85	2	10	48	0.9	89	89	63
60	2	9	32	0.8	102	65	43
53	2	7	26	0.7	58	51	37
51	2	9	38	0.9	65	52	32
69	2	11	45	0.9	60	79	50
75	2	9	46	1	24	78	55
53	2	8	34	0.8	27	51	37
53	2	9	42	0.8	61	49	29
57	2	10	45	0.9	106	60	35
56	2	9	41	0.8	69	61	36
55	2	9	38	0.9	88	60	38
53	2	9	42	1	42	56	37
57	2	7	24	0.6	45	63	26
60	2	8	28	0.5	44	69	29
61	2	10	39	0.7	74	72	34
62	2	9	39	0.7	98	74	33
75	2	16	57	0.9	41	100	46
69	2	9	37	0.8	32	76	50
59	2	9	38	0.7	99	67	36
60	2	10	44	0.8	112	68	31
69	2	14	52	1	114	88	41
58	2	11	41	0.8	78	65	36
54	2	10	39	0.8	49	57	35
56	2	8	34	0.8	20	61	33
54	2	7	28	0.6	51	58	28
51	2	8	36	0.8	70	52	31
51	2	12	37	0.8	60	51	30
56	2	9	34	0.7	107	41	23
52	2	10	33	0.6	63	54	29
69	2	10	33	0.6	122	55	28
97	2	11	42	0.7	156	62	34
86	2	10	28	0.7	143	54	32
59	2	9	26	0.6	81	67	33
56	2	7	23	0.5	61	62	32
88	2	9	36	0.8	145	64	38
90	2	10	38	0.8	148	62	36
55	2	9	28	0.7	106	47	32
60	2	9	31	0.6	111	43	26
64	2	12	47	0.8	71	69	46
69	2	10	42	0.9	42	73	50
55	2	8	34	0.7	32	55	39
51	2	9	35	0.7	70	51	34
53	2	10	39	0.8	64	56	35
74	2	10	44	0.8	128	65	40
58	2	10	45	0.8	98	65	40
63	2	9	42	0.7	79	68	45
72	2	11	33	0.5	126	43	21
94	2	12	49	0.7	152	58	27
65	2	14	29	0.6	117	54	36
57	2	10	32	0.7	108	42	26
66	2	9	25	0.7	119	28	16
52	2	9	22	0.6	102	30	17
63	2	9	22	0.6	115	39	25
55	2	9	25	0.6	106	35	20
89	2	10	33	0.7	146	49	29
91	2	11	35	0.7	149	45	25
53	2	11	35	0.7	96	56	36
56	2	8	21	0.6	107	26	15
65	2	7	19	0.6	118	22	13
80	2	8	25	0.7	135	43	28
55	2	7	19	0.6	106	20	12
100	2	8	23	0.6	160	29	17
55	2	8	24	0.6	105	35	20
55	2	8	23	0.6	105	35	19
56	2	7	21	0.6	107	23	13
58	2	8	23	0.6	109	31	17
66	2	8	21	0.6	119	22	13
66	2	8	26	0.6	119	29	16
63	2	8	29	0.6	115	32	17
70	2	9	25	0.6	123	33	17
65	2	8	23	0.5	118	29	14
75	2	8	21	0.5	130	26	14
90	2	8	24	0.6	147	34	16
61	2	9	20	0.5	113	29	15
76	2	9	26	0.6	131	36	19
98	2	9	26	0.6	157	43	24
57	2	7	20	0.6	108	24	15
55	2	9	22	0.6	105	30	16
74	2	9	23	0.6	128	39	22
75	2	9	23	0.7	129	45	27
59	2	8	24	0.7	110	33	19
57	2	8	22	0.7	108	38	21
77	2	9	23	0.7	132	44	26
60	2	9	18	0.6	111	29	16
57	2	9	24	0.7	108	26	14
55	2	9	27	0.8	105	30	16
87	2	11	37	0.8	144	46	25
52	2	12	32	0.9	101	54	33
78	2	11	28	0.7	133	40	22
64	2	11	27	0.7	116	44	26
65	2	10	25	0.7	118	44	26
72	2	10	29	0.7	126	32	16
80	2	9	29	0.7	135	36	19
80	2	9	31	0.7	135	42	22
54	2	9	26	0.6	104	40	22
55	2	10	21	0.5	105	33	17
73	2	9	29	0.7	127	34	19
98	2	10	34	0.7	157	44	25
60	2	9	48	0.9	30	63	35
53	2	9	39	0.8	18	55	35
