aqi	so2	no2	co	o3	pm10	pm2_5	pubtime
59	10	23	0.7	44	63	42	2021/2/22 10:00
57	11	20	0.6	58	55	40	2021/2/22 11:00
52	10	17	0.6	70	49	36	2021/2/22 12:00
50	11	15	0.6	81	50	34	2021/2/22 13:00
53	11	17	0.6	99	51	37	2021/2/22 14:00
53	12	15	0.6	112	53	37	2021/2/22 15:00
52	12	15	0.6	127	54	36	2021/2/22 16:00
53	11	15	0.6	133	55	36	2021/2/22 17:00
53	12	21	0.7	128	55	37	2021/2/22 18:00
53	12	32	0.7	92	55	35	2021/2/22 19:00
55	14	28	0.7	72	60	37	2021/2/22 20:00
58	14	25	0.7	67	65	39	2021/2/22 21:00
53	12	22	0.7	67	56	32	2021/2/22 22:00
52	14	35	0.7	47	54	33	2021/2/22 23:00
61	15	39	0.8	31	72	37	2021/2/23 0:00
64	15	36	0.8	24	77	38	2021/2/23 1:00
63	15	31	0.8	22	76	37	2021/2/23 2:00
63	18	33	0.8	19	76	39	2021/2/23 3:00
61	19	32	0.9	17	72	38	2021/2/23 4:00
58	17	33	0.8	15	65	37	2021/2/23 5:00
58	15	30	0.8	20	65	37	2021/2/23 6:00
55	15	29	0.8	23	59	35	2021/2/23 7:00
54	14	36	0.8	18	58	37	2021/2/23 8:00
55	17	40	0.9	19	59	37	2021/2/23 9:00
59	16	39	0.8	36	67	38	2021/2/23 10:00
62	12	23	0.7	74	73	44	2021/2/23 11:00
63	10	17	0.7	92	73	45	2021/2/23 12:00
63	9	15	0.6	98	69	45	2021/2/23 13:00
59	8	13	0.6	101	65	42	2021/2/23 14:00
57	8	10	0.6	110	64	39	2021/2/23 15:00
55	8	10	0.6	114	58	39	2021/2/23 16:00
54	8	13	0.6	112	57	35	2021/2/23 17:00
52	8	19	0.6	100	53	33	2021/2/23 18:00
53	10	23	0.6	91	55	34	2021/2/23 19:00
53	13	37	0.7	67	55	37	2021/2/23 20:00
59	21	45	0.9	52	68	40	2021/2/23 21:00
67	17	38	0.7	55	83	47	2021/2/23 22:00
63	16	38	0.7	50	76	44	2021/2/23 23:00
61	18	45	1	36	72	42	2021/2/24 0:00
71	20	44	0.9	31	91	47	2021/2/24 1:00
70	20	39	0.8	37	89	46	2021/2/24 2:00
64	12	28	0.7	52	78	44	2021/2/24 3:00
56	10	22	0.6	62	62	39	2021/2/24 4:00
55	10	19	0.6	70	59	36	2021/2/24 5:00
54	9	14	0.6	79	57	37	2021/2/24 6:00
54	9	17	0.6	77	57	38	2021/2/24 7:00
59	10	33	0.7	59	58	42	2021/2/24 8:00
60	10	26	0.7	72	70	42	2021/2/24 9:00
60	10	20	0.6	84	68	43	2021/2/24 10:00
62	10	16	0.6	88	68	44	2021/2/24 11:00
59	8	14	0.5	95	66	42	2021/2/24 12:00
59	8	10	0.6	102	68	40	2021/2/24 13:00
58	7	10	0.5	103	66	41	2021/2/24 14:00
55	7	10	0.5	104	60	38	2021/2/24 15:00
55	7	12	0.6	103	60	37	2021/2/24 16:00
55	7	13	0.6	104	59	36	2021/2/24 17:00
59	7	15	0.6	93	66	42	2021/2/24 18:00
59	8	16	0.6	84	68	42	2021/2/24 19:00
63	8	17	0.6	80	67	45	2021/2/24 20:00
63	8	17	0.6	79	64	45	2021/2/24 21:00
60	8	18	0.6	75	65	43	2021/2/24 22:00
62	7	15	0.6	75	70	44	2021/2/24 23:00
59	7	15	0.6	73	67	41	2021/2/25 0:00
62	8	13	0.6	73	73	41	2021/2/25 1:00
59	8	12	0.6	73	60	42	2021/2/25 2:00
57	8	11	0.6	73	58	40	2021/2/25 3:00
54	7	10	0.6	74	55	38	2021/2/25 4:00
51	8	10	0.6	71	51	35	2021/2/25 5:00
49	8	10	0.6	70	48	34	2021/2/25 6:00
46	8	12	0.6	65	46	32	2021/2/25 7:00
48	9	25	0.6	49	47	33	2021/2/25 8:00
49	11	29	0.7	43	49	33	2021/2/25 9:00
53	12	26	0.7	52	56	33	2021/2/25 10:00
56	10	17	0.6	68	61	36	2021/2/25 11:00
52	9	15	0.6	74	54	35	2021/2/25 12:00
52	8	12	0.5	85	54	34	2021/2/25 13:00
51	8	11	0.5	92	52	32	2021/2/25 14:00
50	8	12	0.6	92	50	31	2021/2/25 15:00
51	7	12	0.6	97	52	33	2021/2/25 16:00
53	8	13	0.6	96	55	34	2021/2/25 17:00
53	7	15	0.6	81	55	36	2021/2/25 18:00
45	7	18	0.7	63	45	25	2021/2/25 19:00
29	7	14	0.7	45	29	18	2021/2/25 20:00
20	7	14	0.7	35	20	14	2021/2/25 21:00
21	7	13	0.7	27	21	14	2021/2/25 22:00
25	7	12	0.6	24	25	15	2021/2/25 23:00
22	7	10	0.6	27	21	15	2021/2/26 0:00
16	6	8	0.5	32	16	11	2021/2/26 1:00
12	6	7	0.5	35	12	8	2021/2/26 2:00
12	6	6	0.5	37	12	7	2021/2/26 3:00
13	6	6	0.5	40	12	6	2021/2/26 4:00
13	6	6	0.5	40	10	5	2021/2/26 5:00
12	6	7	0.5	38	8	4	2021/2/26 6:00
12	6	8	0.5	37	8	4	2021/2/26 7:00
11	6	12	0.5	34	9	4	2021/2/26 8:00
11	6	14	0.5	34	9	3	2021/2/26 9:00
11	6	13	0.5	34	11	5	2021/2/26 10:00
14	6	12	0.5	35	14	7	2021/2/26 11:00
12	7	13	0.5	35	12	8	2021/2/26 12:00
17	9	12	0.5	36	17	8	2021/2/26 13:00
19	10	10	0.5	38	19	10	2021/2/26 14:00
19	10	11	0.6	39	19	12	2021/2/26 15:00
23	11	13	0.6	38	23	12	2021/2/26 16:00
24	11	14	0.6	37	24	14	2021/2/26 17:00
27	10	13	0.6	36	27	16	2021/2/26 18:00
30	11	13	0.6	35	30	20	2021/2/26 19:00
35	11	13	0.6	37	32	24	2021/2/26 20:00
33	13	13	0.6	40	33	21	2021/2/26 21:00
42	12	12	0.5	52	41	29	2021/2/26 22:00
45	10	9	0.5	63	39	31	2021/2/26 23:00
25	8	8	0.5	64	25	15	2021/2/27 0:00
22	8	7	0.5	64	22	14	2021/2/27 1:00
25	7	6	0.5	63	25	17	2021/2/27 2:00
20	7	5	0.5	64	18	12	2021/2/27 3:00
20	6	5	0.4	63	16	9	2021/2/27 4:00
20	6	5	0.4	63	14	9	2021/2/27 5:00
20	7	5	0.4	61	14	8	2021/2/27 6:00
18	7	6	0.4	57	16	7	2021/2/27 7:00
17	7	9	0.4	52	17	10	2021/2/27 8:00
23	7	13	0.5	45	23	11	2021/2/27 9:00
24	8	16	0.5	41	24	14	2021/2/27 10:00
29	9	21	0.5	35	29	17	2021/2/27 11:00
35	12	27	0.6	31	35	17	2021/2/27 12:00
47	13	26	0.6	31	47	22	2021/2/27 13:00
48	14	25	0.6	30	48	25	2021/2/27 14:00
45	14	26	0.7	29	45	25	2021/2/27 15:00
51	13	22	0.7	31	51	29	2021/2/27 16:00
48	12	21	0.7	32	48	26	2021/2/27 17:00
46	11	22	0.7	30	46	25	2021/2/27 18:00
43	12	24	0.8	25	43	21	2021/2/27 19:00
38	11	20	0.7	28	38	24	2021/2/27 20:00
38	11	20	0.7	27	38	23	2021/2/27 21:00
40	10	17	0.7	29	40	22	2021/2/27 22:00
35	10	14	0.6	31	35	20	2021/2/27 23:00
29	9	12	0.6	32	29	19	2021/2/28 0:00
25	8	11	0.6	32	25	15	2021/2/28 1:00
20	7	10	0.6	29	20	14	2021/2/28 2:00
16	7	9	0.6	28	16	10	2021/2/28 3:00
15	7	8	0.6	28	12	10	2021/2/28 4:00
12	6	7	0.6	28	12	8	2021/2/28 5:00
10	7	8	0.6	27	10	6	2021/2/28 6:00
14	7	10	0.6	25	14	6	2021/2/28 7:00
14	7	14	0.6	21	14	8	2021/2/28 8:00
12	8	17	0.7	18	12	8	2021/2/28 9:00
16	9	19	0.7	14	16	7	2021/2/28 10:00
18	12	22	0.8	12	18	10	2021/2/28 11:00
27	14	24	0.8	11	27	15	2021/2/28 12:00
36	17	24	0.8	17	36	22	2021/2/28 13:00
40	17	21	0.8	26	40	24	2021/2/28 14:00
38	14	21	0.8	34	38	22	2021/2/28 15:00
40	15	21	0.7	42	40	22	2021/2/28 16:00
38	14	18	0.7	54	38	24	2021/2/28 17:00
41	13	19	0.7	58	41	23	2021/2/28 18:00
41	16	28	0.9	37	41	22	2021/2/28 19:00
49	20	33	0.9	27	49	26	2021/2/28 20:00
53	27	38	1.1	24	56	32	2021/2/28 21:00
56	30	37	1.2	20	61	36	2021/2/28 22:00
59	17	23	1	14	68	41	2021/2/28 23:00
46	9	16	0.8	11	46	30	2021/3/1 0:00
25	9	15	0.8	14	25	17	2021/3/1 1:00
20	9	14	0.8	15	20	11	2021/3/1 2:00
16	9	14	0.7	16	16	8	2021/3/1 3:00
16	10	14	0.7	18	16	7	2021/3/1 4:00
16	11	14	0.7	20	16	6	2021/3/1 5:00
15	11	12	0.6	28	15	6	2021/3/1 6:00
12	9	11	0.6	33	12	5	2021/3/1 7:00
11	9	15	0.6	25	11	3	2021/3/1 8:00
11	10	17	0.6	24	11	4	2021/3/1 9:00
12	10	16	0.6	25	12	5	2021/3/1 10:00
14	11	14	0.6	25	14	5	2021/3/1 11:00
15	10	11	0.6	29	15	4	2021/3/1 12:00
15	10	10	0.7	32	15	4	2021/3/1 13:00
13	10	9	0.6	40	13	4	2021/3/1 14:00
16	8	10	0.6	49	13	4	2021/3/1 15:00
16	8	11	0.6	50	15	4	2021/3/1 16:00
18	9	13	0.6	48	18	7	2021/3/1 17:00
22	9	15	0.6	46	22	9	2021/3/1 18:00
25	10	15	0.6	47	25	12	2021/3/1 19:00
29	12	16	0.6	49	29	14	2021/3/1 20:00
31	14	16	0.6	47	31	15	2021/3/1 21:00
34	14	16	0.6	47	34	18	2021/3/1 22:00
34	14	16	0.6	45	34	19	2021/3/1 23:00
42	14	16	0.6	45	42	22	2021/3/2 0:00
44	13	14	0.7	46	44	23	2021/3/2 1:00
47	13	12	0.6	48	47	24	2021/3/2 2:00
47	11	10	0.6	51	47	25	2021/3/2 3:00
48	12	10	0.6	51	48	24	2021/3/2 4:00
48	12	10	0.6	51	48	26	2021/3/2 5:00
49	12	11	0.6	51	49	26	2021/3/2 6:00
51	11	11	0.6	49	52	27	2021/3/2 7:00
53	10	13	0.6	43	55	29	2021/3/2 8:00
52	10	15	0.6	48	54	29	2021/3/2 9:00
36	11	18	0.7	56	36	19	2021/3/2 10:00
31	12	19	0.7	59	31	15	2021/3/2 11:00
32	12	20	0.7	61	32	18	2021/3/2 12:00
34	12	18	0.7	65	34	19	2021/3/2 13:00
33	12	14	0.8	73	33	22	2021/3/2 14:00
36	12	16	0.7	73	36	25	2021/3/2 15:00
35	12	18	0.7	69	35	23	2021/3/2 16:00
38	13	21	0.8	63	38	26	2021/3/2 17:00
40	14	25	0.8	59	40	24	2021/3/2 18:00
45	17	26	0.8	53	45	27	2021/3/2 19:00
51	18	26	0.8	51	51	32	2021/3/2 20:00
52	18	21	0.8	54	54	34	2021/3/2 21:00
48	16	19	0.8	53	48	33	2021/3/2 22:00
49	13	16	0.7	54	47	34	2021/3/2 23:00
51	10	13	0.7	54	51	34	2021/3/3 0:00
43	8	11	0.7	55	43	29	2021/3/3 1:00
30	8	10	0.7	54	30	20	2021/3/3 2:00
20	8	9	0.7	56	20	13	2021/3/3 3:00
17	8	9	0.7	52	16	11	2021/3/3 4:00
18	8	9	0.7	48	17	12	2021/3/3 5:00
18	9	9	0.7	45	17	12	2021/3/3 6:00
18	9	12	0.7	40	18	11	2021/3/3 7:00
19	10	18	0.7	34	18	13	2021/3/3 8:00
22	12	23	0.8	28	19	15	2021/3/3 9:00
28	14	26	0.9	24	23	19	2021/3/3 10:00
35	19	28	0.9	22	33	24	2021/3/3 11:00
41	20	27	0.9	27	41	27	2021/3/3 12:00
44	20	26	0.9	30	44	27	2021/3/3 13:00
42	21	29	0.9	34	42	25	2021/3/3 14:00
44	23	28	0.9	36	44	26	2021/3/3 15:00
46	23	32	0.9	36	46	27	2021/3/3 16:00
51	23	34	0.9	35	51	31	2021/3/3 17:00
52	20	33	0.9	39	53	32	2021/3/3 18:00
50	19	27	0.8	42	50	30	2021/3/3 19:00
50	18	21	0.8	43	50	33	2021/3/3 20:00
57	15	22	0.8	40	58	40	2021/3/3 21:00
60	15	22	0.8	38	63	43	2021/3/3 22:00
65	14	21	0.8	37	65	47	2021/3/3 23:00
65	17	22	0.8	32	65	47	2021/3/4 0:00
64	15	20	0.7	32	66	46	2021/3/4 1:00
64	14	20	0.7	31	63	46	2021/3/4 2:00
64	13	19	0.7	30	65	46	2021/3/4 3:00
65	13	19	0.7	27	70	47	2021/3/4 4:00
65	12	20	0.7	25	71	47	2021/3/4 5:00
68	12	20	0.7	23	73	49	2021/3/4 6:00
65	13	22	0.7	20	70	47	2021/3/4 7:00
67	13	26	0.8	15	72	48	2021/3/4 8:00
68	15	30	0.9	11	72	49	2021/3/4 9:00
68	15	30	0.9	12	72	49	2021/3/4 10:00
60	15	27	0.8	18	64	43	2021/3/4 11:00
45	15	23	0.8	29	45	26	2021/3/4 12:00
43	14	19	0.8	38	43	25	2021/3/4 13:00
36	12	18	0.7	41	35	25	2021/3/4 14:00
39	13	21	0.8	39	39	23	2021/3/4 15:00
43	14	24	0.8	36	43	26	2021/3/4 16:00
45	14	30	0.8	28	45	28	2021/3/4 17:00
55	13	35	0.9	18	60	33	2021/3/4 18:00
56	11	38	0.9	12	61	36	2021/3/4 19:00
47	10	30	0.8	18	47	32	2021/3/4 20:00
38	10	28	0.8	20	36	26	2021/3/4 21:00
32	10	29	0.8	19	32	22	2021/3/4 22:00
31	11	33	0.9	13	31	19	2021/3/4 23:00
32	10	33	0.9	10	32	21	2021/3/5 0:00
29	10	32	0.9	9	29	19	2021/3/5 1:00
30	10	28	0.9	11	30	19	2021/3/5 2:00
26	9	24	0.8	12	25	18	2021/3/5 3:00
25	10	21	0.8	13	22	17	2021/3/5 4:00
23	9	20	0.8	13	22	16	2021/3/5 5:00
23	9	18	0.8	13	23	16	2021/3/5 6:00
22	9	17	0.8	13	20	15	2021/3/5 7:00
20	9	21	0.9	9	18	14	2021/3/5 8:00
24	9	21	0.9	8	24	16	2021/3/5 9:00
27	10	18	1	8	27	18	2021/3/5 10:00
39	12	17	0.9	9	38	27	2021/3/5 11:00
49	13	17	1	12	45	34	2021/3/5 12:00
52	16	18	1	15	48	36	2021/3/5 13:00
55	18	17	0.9	22	58	39	2021/3/5 14:00
63	16	18	0.9	28	60	45	2021/3/5 15:00
62	15	18	0.9	31	62	44	2021/3/5 16:00
64	15	22	0.9	33	62	46	2021/3/5 17:00
62	17	28	0.9	32	62	44	2021/3/5 18:00
63	19	34	0.9	29	64	45	2021/3/5 19:00
60	19	28	0.9	36	63	43	2021/3/5 20:00
55	22	24	0.8	39	55	39	2021/3/5 21:00
62	20	21	0.8	43	61	44	2021/3/5 22:00
60	15	20	0.8	46	58	43	2021/3/5 23:00
65	16	23	0.9	40	61	47	2021/3/6 0:00
72	17	26	0.9	32	67	52	2021/3/6 1:00
69	15	24	0.9	29	66	50	2021/3/6 2:00
70	14	23	0.9	25	63	51	2021/3/6 3:00
68	14	22	0.9	24	63	49	2021/3/6 4:00
67	14	21	0.9	22	62	48	2021/3/6 5:00
67	15	21	0.9	21	62	48	2021/3/6 6:00
67	14	21	0.9	21	62	48	2021/3/6 7:00
62	13	23	0.9	17	65	44	2021/3/6 8:00
64	16	27	0.9	15	66	46	2021/3/6 9:00
67	18	22	0.8	30	72	48	2021/3/6 10:00
63	14	18	0.7	48	61	45	2021/3/6 11:00
49	14	21	0.8	52	49	33	2021/3/6 12:00
51	14	18	0.7	62	52	34	2021/3/6 13:00
52	13	14	0.7	72	53	34	2021/3/6 14:00
59	13	17	0.7	74	60	42	2021/3/6 15:00
62	15	21	0.7	68	66	44	2021/3/6 16:00
67	16	24	0.8	65	69	48	2021/3/6 17:00
69	16	23	0.8	65	73	50	2021/3/6 18:00
73	16	23	0.8	64	76	53	2021/3/6 19:00
64	18	29	0.8	54	70	46	2021/3/6 20:00
62	16	27	0.8	51	68	44	2021/3/6 21:00
64	15	24	0.7	44	72	46	2021/3/6 22:00
62	17	22	0.7	39	62	44	2021/3/6 23:00
55	17	20	0.7	41	56	39	2021/3/7 0:00
52	15	20	0.7	42	52	36	2021/3/7 1:00
51	12	15	0.6	50	52	33	2021/3/7 2:00
47	10	11	0.6	60	47	30	2021/3/7 3:00
39	9	9	0.5	65	39	25	2021/3/7 4:00
35	8	8	0.5	63	35	23	2021/3/7 5:00
38	9	9	0.5	63	38	26	2021/3/7 6:00
42	9	10	0.5	62	36	29	2021/3/7 7:00
39	10	14	0.6	57	36	27	2021/3/7 8:00
39	11	17	0.6	52	38	27	2021/3/7 9:00
40	12	22	0.6	47	40	25	2021/3/7 10:00
38	12	25	0.6	46	38	23	2021/3/7 11:00
40	12	22	0.6	50	40	21	2021/3/7 12:00
41	12	21	0.6	54	41	21	2021/3/7 13:00
37	13	21	0.6	55	37	21	2021/3/7 14:00
42	14	22	0.6	57	42	22	2021/3/7 15:00
45	14	24	0.7	57	45	22	2021/3/7 16:00
47	14	24	0.7	55	47	24	2021/3/7 17:00
48	16	27	0.7	49	48	26	2021/3/7 18:00
51	15	26	0.7	48	52	30	2021/3/7 19:00
51	14	23	0.7	50	52	27	2021/3/7 20:00
53	12	25	0.7	43	55	29	2021/3/7 21:00
54	12	26	0.7	33	58	33	2021/3/7 22:00
51	9	25	0.7	27	52	35	2021/3/7 23:00
43	9	21	0.7	27	38	30	2021/3/8 0:00
29	8	19	0.6	26	26	20	2021/3/8 1:00
23	7	18	0.7	25	20	16	2021/3/8 2:00
20	7	15	0.6	26	20	13	2021/3/8 3:00
20	7	13	0.6	26	20	14	2021/3/8 4:00
18	7	13	0.6	24	18	12	2021/3/8 5:00
15	7	12	0.6	24	15	9	2021/3/8 6:00
14	7	13	0.6	23	14	7	2021/3/8 7:00
12	7	17	0.6	20	12	7	2021/3/8 8:00
11	7	20	0.7	17	11	6	2021/3/8 9:00
15	7	23	0.7	14	15	9	2021/3/8 10:00
18	9	23	0.7	14	18	11	2021/3/8 11:00
22	10	24	0.7	14	22	12	2021/3/8 12:00
31	10	22	0.7	15	31	15	2021/3/8 13:00
24	11	20	0.7	17	24	14	2021/3/8 14:00
25	11	18	0.7	18	25	14	2021/3/8 15:00
27	10	20	0.7	16	27	14	2021/3/8 16:00
30	10	21	0.7	16	30	19	2021/3/8 17:00
32	9	23	0.7	14	32	19	2021/3/8 18:00
34	10	25	0.7	12	34	20	2021/3/8 19:00
37	11	24	0.7	13	37	25	2021/3/8 20:00
38	10	22	0.6	15	38	21	2021/3/8 21:00
36	10	22	0.6	16	36	24	2021/3/8 22:00
40	10	20	0.6	18	40	25	2021/3/8 23:00
36	9	17	0.6	23	36	22	2021/3/9 0:00
25	8	14	0.6	26	25	17	2021/3/9 1:00
20	8	14	0.6	23	20	11	2021/3/9 2:00
18	8	13	0.6	19	17	12	2021/3/9 3:00
17	8	12	0.6	18	17	9	2021/3/9 4:00
15	9	13	0.6	16	15	9	2021/3/9 5:00
14	9	13	0.6	15	14	9	2021/3/9 6:00
17	9	12	0.6	19	17	10	2021/3/9 7:00
16	8	15	0.6	17	16	7	2021/3/9 8:00
12	9	19	0.7	16	12	6	2021/3/9 9:00
15	10	19	0.6	17	15	7	2021/3/9 10:00
14	10	18	0.6	21	14	6	2021/3/9 11:00
19	13	18	0.7	24	19	9	2021/3/9 12:00
22	14	20	0.7	25	22	10	2021/3/9 13:00
23	14	22	0.7	25	23	13	2021/3/9 14:00
32	15	21	0.7	25	32	16	2021/3/9 15:00
38	12	20	0.6	26	38	19	2021/3/9 16:00
35	12	21	0.7	24	35	18	2021/3/9 17:00
33	11	22	0.7	20	33	18	2021/3/9 18:00
29	11	23	0.7	17	29	18	2021/3/9 19:00
26	11	20	0.7	21	26	17	2021/3/9 20:00
24	11	19	0.6	23	24	16	2021/3/9 21:00
22	11	17	0.6	26	22	15	2021/3/9 22:00
19	11	14	0.6	35	19	12	2021/3/9 23:00
16	10	12	0.6	38	16	9	2021/3/10 0:00
14	9	10	0.6	40	14	8	2021/3/10 1:00
19	10	12	0.7	36	19	8	2021/3/10 2:00
14	8	8	0.6	43	13	7	2021/3/10 3:00
14	7	8	0.6	42	13	7	2021/3/10 4:00
13	7	8	0.6	40	13	6	2021/3/10 5:00
12	7	8	0.6	38	11	7	2021/3/10 6:00
12	7	12	0.7	32	12	7	2021/3/10 7:00
13	8	17	0.7	25	13	7	2021/3/10 8:00
14	9	21	0.8	20	14	9	2021/3/10 9:00
20	10	25	0.8	17	20	12	2021/3/10 10:00
24	11	25	0.8	16	24	13	2021/3/10 11:00
25	12	26	0.8	16	25	14	2021/3/10 12:00
25	12	24	0.8	16	25	15	2021/3/10 13:00
25	14	24	0.8	16	25	16	2021/3/10 14:00
27	15	24	0.8	18	27	16	2021/3/10 15:00
30	14	25	0.8	16	30	15	2021/3/10 16:00
34	14	24	0.8	15	34	17	2021/3/10 17:00
31	12	23	0.8	16	31	16	2021/3/10 18:00
29	11	24	0.8	14	29	14	2021/3/10 19:00
33	12	26	0.8	12	33	16	2021/3/10 20:00
34	13	24	0.8	12	34	17	2021/3/10 21:00
34	13	22	0.8	12	34	18	2021/3/10 22:00
36	12	21	0.8	13	36	20	2021/3/10 23:00
33	12	20	0.8	12	33	19	2021/3/11 0:00
37	12	20	0.8	11	37	21	2021/3/11 1:00
41	11	21	0.8	7	41	24	2021/3/11 2:00
41	11	20	0.9	7	41	26	2021/3/11 3:00
42	11	19	0.8	8	42	28	2021/3/11 4:00
45	12	19	0.8	7	42	31	2021/3/11 5:00
45	11	18	0.8	8	45	31	2021/3/11 6:00
46	12	18	0.9	8	44	32	2021/3/11 7:00
42	13	19	0.9	7	40	29	2021/3/11 8:00
41	18	20	1	8	41	28	2021/3/11 9:00
50	23	22	1	11	50	30	2021/3/11 10:00
54	20	21	1	17	57	35	2021/3/11 11:00
52	21	22	1	20	54	36	2021/3/11 12:00
52	20	20	0.9	28	54	34	2021/3/11 13:00
46	16	21	0.8	31	46	28	2021/3/11 14:00
44	19	23	0.8	34	44	28	2021/3/11 15:00
46	19	25	0.8	33	46	28	2021/3/11 16:00
50	18	26	0.8	34	50	29	2021/3/11 17:00
50	19	31	0.8	27	50	27	2021/3/11 18:00
50	20	34	0.9	19	50	29	2021/3/11 19:00
51	22	33	0.9	17	51	29	2021/3/11 20:00
49	17	27	0.8	19	49	29	2021/3/11 21:00
46	17	26	0.8	17	46	29	2021/3/11 22:00
43	16	24	0.8	17	43	27	2021/3/11 23:00
50	14	19	0.7	20	50	28	2021/3/12 0:00
48	13	17	0.7	22	48	30	2021/3/12 1:00
47	11	16	0.7	23	47	29	2021/3/12 2:00
40	9	14	0.7	27	40	24	2021/3/12 3:00
34	8	12	0.7	28	34	21	2021/3/12 4:00
28	8	12	0.7	25	26	19	2021/3/12 5:00
25	8	13	0.7	22	23	17	2021/3/12 6:00
25	8	15	0.7	18	25	16	2021/3/12 7:00
25	8	21	0.8	13	25	16	2021/3/12 8:00
23	9	21	0.8	14	22	16	2021/3/12 9:00
22	10	21	0.8	16	22	13	2021/3/12 10:00
23	10	21	0.8	19	23	14	2021/3/12 11:00
28	13	21	0.8	24	28	16	2021/3/12 12:00
34	15	22	0.8	29	34	19	2021/3/12 13:00
40	16	24	0.8	31	40	22	2021/3/12 14:00
43	17	27	0.8	33	43	22	2021/3/12 15:00
47	15	34	0.8	27	47	26	2021/3/12 16:00
52	16	37	0.8	21	54	28	2021/3/12 17:00
54	14	35	0.8	20	58	30	2021/3/12 18:00
54	13	31	0.9	22	58	31	2021/3/12 19:00
53	13	31	0.8	17	55	28	2021/3/12 20:00
54	14	31	0.9	15	58	31	2021/3/12 21:00
57	14	29	0.9	13	64	36	2021/3/12 22:00
60	16	28	0.8	12	70	38	2021/3/12 23:00
63	16	26	0.9	11	75	41	2021/3/13 0:00
64	13	23	0.8	12	77	45	2021/3/13 1:00
61	10	19	0.8	13	71	43	2021/3/13 2:00
47	8	16	0.7	15	47	31	2021/3/13 3:00
29	8	14	0.7	15	29	20	2021/3/13 4:00
19	8	14	0.7	14	19	11	2021/3/13 5:00
16	9	14	0.7	12	16	11	2021/3/13 6:00
20	10	16	0.7	9	20	11	2021/3/13 7:00
23	12	19	0.8	6	23	13	2021/3/13 8:00
22	13	20	0.9	7	22	14	2021/3/13 9:00
30	17	20	1	7	30	17	2021/3/13 10:00
40	22	21	1.1	8	40	24	2021/3/13 11:00
50	22	22	1.1	10	50	30	2021/3/13 12:00
54	25	24	1	15	58	32	2021/3/13 13:00
58	22	27	1	23	66	40	2021/3/13 14:00
59	19	28	0.9	37	68	41	2021/3/13 15:00
58	17	30	0.9	50	65	40	2021/3/13 16:00
59	17	33	0.9	59	67	42	2021/3/13 17:00
60	17	40	0.9	57	69	43	2021/3/13 18:00
63	21	51	1	41	73	45	2021/3/13 19:00
66	29	61	1.4	18	81	47	2021/3/13 20:00
82	29	57	1.3	11	105	60	2021/3/13 21:00
73	27	50	1.2	9	93	53	2021/3/13 22:00
69	18	34	0.9	18	87	48	2021/3/13 23:00
56	14	26	0.8	26	61	32	2021/3/14 0:00
49	12	22	0.7	30	49	29	2021/3/14 1:00
46	11	20	0.7	31	46	25	2021/3/14 2:00
42	11	21	0.7	27	42	24	2021/3/14 3:00
47	11	20	0.7	28	47	25	2021/3/14 4:00
42	9	14	0.7	37	42	24	2021/3/14 5:00
38	8	10	0.6	39	38	24	2021/3/14 6:00
26	8	10	0.6	38	26	17	2021/3/14 7:00
26	8	15	0.7	35	25	18	2021/3/14 8:00
29	9	17	0.7	35	29	19	2021/3/14 9:00
34	10	20	0.7	33	34	22	2021/3/14 10:00
38	10	20	0.7	34	38	23	2021/3/14 11:00
38	11	18	0.7	43	38	24	2021/3/14 12:00
48	12	14	0.6	61	48	29	2021/3/14 13:00
51	11	13	0.6	71	51	31	2021/3/14 14:00
52	10	15	0.6	76	53	33	2021/3/14 15:00
55	9	13	0.6	84	60	34	2021/3/14 16:00
57	9	13	0.6	86	64	34	2021/3/14 17:00
56	10	16	0.6	84	61	34	2021/3/14 18:00
58	10	18	0.7	77	65	35	2021/3/14 19:00
57	11	20	0.7	72	63	35	2021/3/14 20:00
55	10	23	0.7	63	60	36	2021/3/14 21:00
55	11	18	0.7	66	59	35	2021/3/14 22:00
54	10	17	0.7	69	58	33	2021/3/14 23:00
55	10	14	0.6	71	60	35	2021/3/15 0:00
55	9	14	0.6	72	60	38	2021/3/15 1:00
54	9	15	0.6	67	58	37	2021/3/15 2:00
57	10	14	0.6	67	60	40	2021/3/15 3:00
55	10	14	0.6	65	59	38	2021/3/15 4:00
57	10	13	0.6	61	60	40	2021/3/15 5:00
57	11	18	0.6	51	59	40	2021/3/15 6:00
59	11	21	0.7	47	61	42	2021/3/15 7:00
59	13	36	0.8	35	59	42	2021/3/15 8:00
63	14	28	0.8	49	75	42	2021/3/15 9:00
63	13	19	0.7	64	76	44	2021/3/15 10:00
62	12	18	0.6	72	73	44	2021/3/15 11:00
64	11	16	0.6	82	71	46	2021/3/15 12:00
64	10	12	0.6	96	71	46	2021/3/15 13:00
63	9	11	0.6	108	71	45	2021/3/15 14:00
64	9	12	0.6	118	71	46	2021/3/15 15:00
64	9	13	0.6	125	75	46	2021/3/15 16:00
68	9	15	0.6	129	75	49	2021/3/15 17:00
68	10	18	0.6	125	76	49	2021/3/15 18:00
67	12	36	0.8	90	77	48	2021/3/15 19:00
75	12	33	0.8	72	90	55	2021/3/15 20:00
73	11	30	0.8	63	86	53	2021/3/15 21:00
68	11	25	0.7	64	80	49	2021/3/15 22:00
67	10	23	0.7	63	77	48	2021/3/15 23:00
