aqi,so2,no2,co,o3,pm10,pm2_5,temp,humi,w_dir,wind,rain
52,7,11,0.6,74,44,36,0,93,45,2,0
50,8,12,0.6,72,42,35,0,94,0,2,0
50,8,17,0.6,69,41,35,0,94,0,2,0
50,8,19,0.6,66,44,35,0,95,45,2,0
50,10,24,0.7,60,43,35,0,95,0,1,0
52,11,25,0.7,57,46,36,0,94,0,1,0
54,12,28,0.7,52,50,38,0,93,45,2,0
59,11,28,0.7,50,52,42,1,94,45,1,0
60,12,24,0.8,50,57,43,1,94,45,1,0
60,12,25,0.8,53,52,43,1,94,45,2,0
57,12,27,0.8,48,51,40,1,94,45,2,0
58,11,27,0.8,46,53,41,1,95,0,2,0
54,11,28,0.8,46,52,38,1,96,0,2,0
55,11,27,0.8,47,52,39,1,96,0,2,0
55,10,25,0.8,49,47,39,0,96,0,2,0.2
48,10,23,0.8,50,42,33,0,96,0,2,0
43,10,22,0.8,52,37,30,0,96,45,2,0.1
39,10,19,0.8,57,35,27,0,94,45,3,0
39,9,16,0.8,64,32,27,0,93,45,3,0
42,8,15,0.8,66,35,29,-1,94,45,2,0
40,8,13,0.8,71,35,28,-1,94,45,2,0
46,8,12,0.8,73,40,32,-1,92,45,3,0
48,7,12,0.8,72,40,33,-1,92,45,2,0
40,7,11,0.7,74,36,28,-1,92,45,2,0
35,8,11,0.7,76,30,24,-1,90,45,2,0
30,7,12,0.6,75,29,21,-2,91,45,2,0
30,8,15,0.7,69,27,21,-2,91,45,2,0
28,9,17,0.7,66,24,19,-2,91,45,2,0
20,10,19,0.7,64,20,14,-2,87,45,2,0
22,12,18,0.7,62,20,15,-2,86,45,2,0
22,13,18,0.7,60,22,14,-2,85,45,2,0
24,15,17,0.7,59,24,15,-2,85,45,2,0
23,13,17,0.7,57,23,12,-2,86,45,2,0
23,12,17,0.7,53,23,15,-2,88,45,2,0
24,11,17,0.7,50,24,16,-3,89,45,2,0
26,11,18,0.7,49,26,17,-3,90,45,2,0
23,10,18,0.7,49,23,15,-3,91,45,2,0
23,10,16,0.7,51,23,16,-4,90,45,2,0
25,9,14,0.7,53,23,17,-4,88,45,2,0
25,10,13,0.7,52,25,16,-4,91,45,2,0
25,10,12,0.8,50,23,17,-4,90,45,2,0
25,9,12,0.8,48,23,17,-4,91,45,3,0
25,9,11,0.8,49,22,17,-4,91,45,2,0
23,8,9,0.8,51,23,16,-4,90,45,3,0
22,8,9,0.8,50,19,15,-4,89,45,2,0
20,8,9,0.8,49,20,13,-4,87,45,2,0
19,7,8,0.8,51,17,13,-4,87,45,3,0
19,8,8,0.7,52,19,12,-4,85,45,2,0
19,7,9,0.8,50,19,13,-4,85,45,2,0
23,8,11,0.8,47,22,16,-4,84,45,2,0
26,9,12,0.8,45,24,18,-4,86,45,2,0
29,11,13,0.8,43,27,20,-3,83,45,2,0
33,14,14,0.7,48,31,23,-3,78,45,2,0
37,15,14,0.7,55,37,25,-2,75,45,2,0
39,15,14,0.7,58,39,25,-2,72,45,2,0
38,17,15,0.7,60,38,26,-1,67,45,2,0.2
40,18,17,0.7,57,40,27,-1,70,45,2,0.1
44,19,21,0.8,52,44,27,-1,73,45,2,0
46,21,23,0.8,49,46,29,-1,72,0,2,0
47,22,27,0.8,45,47,30,-1,74,45,1,0
49,23,28,0.8,42,49,31,-1,76,45,2,0
51,25,27,0.7,41,51,32,-1,77,45,2,0
51,23,24,0.7,43,52,34,-2,76,45,2,0
46,21,20,0.7,47,46,32,-2,76,45,1,0
42,20,20,0.7,47,41,29,-2,75,45,1,0
43,21,20,0.7,46,42,30,-2,72,45,2,0
45,20,18,0.6,51,45,30,-2,70,45,2,0
45,17,14,0.6,56,45,28,-2,71,45,2,0
42,16,12,0.6,59,42,28,-2,69,45,2,0
41,18,10,0.6,61,41,25,-2,74,45,2,0
41,19,9,0.6,61,41,26,-2,74,45,2,0
42,16,9,0.6,61,42,27,-2,72,45,2,0
42,15,11,0.6,59,42,26,-2,74,45,1,0
42,15,13,0.5,57,42,26,-2,75,45,1,0
47,18,18,0.6,53,47,28,-1,68,45,1,0
49,20,20,0.6,52,49,30,-1,64,45,1,0
52,21,18,0.6,54,53,31,0,62,45,1,0
53,23,19,0.6,54,56,33,1,60,225,1,0
55,24,19,0.6,55,59,37,1,57,225,2,0
56,23,19,0.6,56,62,37,2,54,225,2,0
56,23,19,0.6,58,61,36,1,56,0,2,0
55,21,20,0.7,60,59,36,1,57,90,1,0
55,22,23,0.6,58,60,34,1,61,45,2,0
54,23,22,0.6,58,57,31,0,58,45,2,0
49,23,21,0.6,57,49,28,0,58,45,2,0
49,21,20,0.6,57,49,28,0,61,0,2,0
49,23,21,0.6,56,49,26,0,63,45,2,0
50,22,19,0.5,59,50,27,0,58,0,1,0
47,21,16,0.5,62,47,26,0,54,45,2,0
47,19,14,0.5,64,47,25,0,55,0,2,0
46,19,12,0.5,65,46,23,-1,48,0,2,0
42,18,11,0.5,66,42,23,-1,46,0,2,0
40,16,11,0.5,66,40,21,-1,44,45,2,0
42,16,11,0.5,62,42,23,-1,54,45,2,0
44,16,11,0.5,60,44,25,-1,56,0,2,0
45,15,12,0.5,59,45,25,-1,57,45,2,0
42,17,16,0.5,54,42,24,-1,57,0,2,0
45,21,19,0.6,50,45,27,-1,58,0,1,0
52,25,24,0.6,45,53,32,-1,57,45,1,0
56,31,29,0.7,41,61,36,0,52,0,1,0
59,31,30,0.7,42,68,41,0,48,45,2,0
59,28,25,0.6,50,68,39,0,37,45,2,0
55,24,20,0.6,57,60,33,1,43,0,2,0
51,20,18,0.5,63,52,29,1,37,0,2,0
